WELL	Water Bottom	INTERVAL	TVDSS_TOP	TVDSB_TOP	TVDSS_BASE	TVDSB_BASE	TVDSB_MID	DEPTH_TOP	DEPTH_BASE	GROSS_ORG	NET_ORG	NET_TO_GROSS_ORG	GROSS	NET	NET_TO_GROSS	PHIT_AV	SWT_AV	PERM_BASE_AM	Comment	NET log	NET log	Comment on method in GeoLog
MINERVA 2A	59.7	Below Top Porosity	1534.49	1474.79	2143.45	2083.75	1779.27	1559.9	2170.0	608.959	200.579	0.329				0.204	0.577	3898.329				
MUSSEL 1	85.32	68_PAARATTE	1306.52	1221.2	1642.82	1557.5	1389.35	1336.7	1673.0	336.3	3.962	0.012				0.155	1.0			112.9284	2284.476	Curve clear from 2227.83 to 2228.90
MUSSEL 1	85.32	81_BELFAST	1642.82	1557.5	1979.72	1894.4	1725.95	1673.0	2009.9	336.9	0.0	0.0										
MUSSEL 1	85.32	88_BASE C. STRIATOCONUM	1979.72	1894.4	2053.72	1968.4	1931.4	2009.9	2083.9	74.0	2.438	0.033				0.123	1.0	0.253				
MUSSEL 1	85.32	WAARRE FM	2053.72	1968.4	2254.32	2169.0	2068.7	2083.9	2284.5	200.6	93.878	0.4679				0.165	0.971	137.552	No logs below 2284.5 mMDRT, so large interval remains unevaluated			
MUSSEL 1	85.32	90.8_UPPER WAARRE	2053.72	1968.4	2126.82	2041.5	2004.95	2083.9	2157.0	73.1	62.948	0.861				0.186	0.979	199.384				
MUSSEL 1	85.32	93_LOWER WAARRE	2126.82	2041.5	2254.32	2169.0	2105.25	2157.0	2284.5	127.5	30.931	0.243				0.123	0.947	11.716	No logs below 2284.5 mMDRT, so large interval remains unevaluated		2284.5	
MUSSEL 1	85.32	Below Top Porosity	1979.72	1894.4	2254.32	2169.0	2031.7	2009.9	2284.5	274.6	96.317	0.351				0.164	0.972	134.076	No logs below 2284.5 mMDRT, so large interval remains unevaluated			
PECTEN 1A	62.6	68_PAARATTE				-62.6													No NET log			
PECTEN 1A	62.6	81_BELFAST				-62.6													No NET log			
PECTEN 1A	62.6	88_BASE C. STRIATOCONUM	1710.2	1647.6	1736.5	1673.9	1660.75	1744.2	1770.5	26.3									No NET log over entire interval; VSH calibrated for Waarre/Eumeralla, not Flaxman. VSH and NET logs over interval needs checking.  Ignore NET calculations for this interval	1762.04877	2853.08032	IFC(PHIT>=.08&VSH<=.5,1,0)
PECTEN 1A	62.6	WAARRE FM	1736.5	1673.9	1760.4	1697.8	1685.85	1770.5	1794.4	23.9	19.785	0.828				0.166	1.0					
PECTEN 1A	62.6	93_LOWER WAARRE	1736.5	1673.9	1760.4	1697.8	1685.85	1770.5	1794.4	23.9	19.785	0.828				0.166	1.0					
PECTEN 1A	62.6	Below Top Porosity	1736.5	1673.9	1760.4	1697.8	1685.85	1770.5	1794.4	23.9	19.785	0.828				0.165	1.0					
PECTEN EAST 1	59.7	68_PAARATTE	1041.07	981.37	1503.13	1443.43	1212.4	1062.0	1524.2	462.053	30.287	0.066				0.218	0.952		No NET log over entire interval; more sand in interval	1200.15	1970.6844	IFC(PHIT>=.08&VSH<=.5,1,0)
PECTEN EAST 1	59.7	81_BELFAST	1503.13	1443.43	1810.58	1750.88	1597.155	1524.2	1832.2	307.454	4.902	0.016				0.205	1.0					
PECTEN EAST 1	59.7	88_BASE C. STRIATOCONUM	1810.58	1750.88	1839.78	1780.08	1765.48	1832.2	1861.5	29.196	2.744	0.094				0.151	0.994					
PECTEN EAST 1	59.7	WAARRE FM	1839.78	1780.08	1909.48	1849.78	1814.93	1861.5	1931.5	69.7	25.026	0.359				0.195	0.956					
PECTEN EAST 1	59.7	90.8_UPPER WAARRE	1839.78	1780.08	1846.25	1786.55	1783.315	1861.5	1868.0	6.477	6.216	0.96				0.223	0.883					
PECTEN EAST 1	59.7	93_LOWER WAARRE	1846.25	1786.55	1909.48	1849.78	1818.165	1868.0	1931.5	63.223	18.81	0.298				0.185	0.986					
PECTEN EAST 1	59.7	Below Thylacine Member	1810.58	1750.88	1909.48	1849.78	1800.33	1832.2	1931.5	98.896	27.77	0.281				0.19	0.959					
PRAWN A1	80.8728	68_PAARATTE	1225.47	1144.5972	1475.27	1394.3972	1269.4972	1252.6	1502.4	249.8	127.575	0.511				0.244	1.0			1205.3316	3192.4752	IFC(PHIT>=.08&VSH<=.5 1 0)
PRAWN A1	80.8728	81_BELFAST	1475.27	1394.3972	1957.67	1876.7972	1635.5972	1502.4	1984.8	482.4	340.497	0.706				0.213	0.998					
PRAWN A1	80.8728	THYLACINE MEMBER	1957.67	1876.7972	2183.07	2102.1972	1989.4972	1984.8	2210.2	225.4	90.849	0.403				0.215	0.949	115.362				
PRAWN A1	80.8728	83.5_UPP THYLACINE MBR	1957.67	1876.7972	2053.57	1972.6972	1924.7472	1984.8	2080.7	95.9	61.019	0.636				0.218	0.962	131.097				
PRAWN A1	80.8728	83.8_MID THYLACINE MBR	2053.57	1972.6972	2183.07	2102.1972	2037.4472	2080.7	2210.2	129.5	29.83	0.23				0.21	0.921	83.177				
PRAWN A1	80.8728	86_FLAXMAN	2183.07	2102.1972	2202.27	2121.3972	2111.7972	2210.2	2229.4	19.2	4.858	0.253				0.154	0.901	409252.126				
PRAWN A1	80.8728	88_BASE C. STRIATOCONUM	2202.27	2121.3972	2488.27	2407.3972	2264.3972	2229.4	2515.4	286.0	115.214	0.403				0.154	0.933	3.375				
PRAWN A1	80.8728	WAARRE FM	2488.27	2407.3972	2893.67	2812.7972	2610.0972	2515.4	2920.8	405.4	144.17	0.356				0.12	0.758	3.796				
PRAWN A1	80.8728	90.8_UPPER WAARRE	2488.27	2407.3972	2748.37	2667.4972	2537.4472	2515.4	2775.5	260.1	102.108	0.393				0.125	0.823	3.849				
PRAWN A1	80.8728	93_LOWER WAARRE	2748.37	2667.4972	2893.67	2812.7972	2740.1472	2775.5	2920.8	145.3	42.062	0.289				0.108	0.575	3.667				
PRAWN A1	80.8728	Below Thylacine Member	1957.67	1876.7972	2893.67	2812.7972	2344.7972	1984.8	2920.8	936.0	355.092	0.379				0.156	0.883	5630.883				
SOMERSET 1	503.0	68_PAARATTE	1658.43	1155.43	2253.09	1750.09	1452.76	1680.0	2274.7	594.66	1.15	0.002				0.178	1.0			1680.0	2879.0	IFC(PHIT>=.08&VSH<=.5 1 0)
SOMERSET 1	503.0	81_BELFAST	2253.09	1750.09	2795.75	2292.75	2021.42	2274.7	2817.5	542.658	0.0	0.0										
SOMERSET 1	503.0	THYLACINE MEMBER	2795.75	2292.75	2821.14	2318.14	2305.445	2817.5	2842.9	25.395	16.797	0.661				0.145	1.0	2.788				
SOMERSET 1	503.0	83.5_UPP THYLACINE MBR	2795.75	2292.75	2804.44	2301.44	2297.095	2817.5	2826.2	8.698	3.799	0.437				0.163	1.0	7.26				
SOMERSET 1	503.0	83.8_MID THYLACINE MBR	2804.44	2301.44	2821.14	2318.14	2309.79	2826.2	2842.9	16.697	12.998	0.778				0.14	1.0	1.481				
SOMERSET 1	503.0	88_BASE C. STRIATOCONUM	2821.14	2318.14	2890.23	2387.23	2352.685	2842.9	2912.0	69.086	2.599	0.038				0.168	1.0	6.657				
SOMERSET 1	503.0	Below Top Porosity	2795.75	2292.75	2890.23	2387.23	2339.99	2817.5	2912.0	94.481	19.396	0.205				0.148	1.0	3.306				
TA 1	99.3	68_PAARATTE	1450.35	1351.05	1657.05	1557.75	1454.4	1609.7	1850.9	206.701									No NET log	2270.5	2629.0	NET
TA 1	99.3	81_BELFAST	1657.05	1557.75	2018.43	1919.13	1738.44	1850.9	2270.2	361.377									No NET log			
TA 1	99.3	THYLACINE MEMBER	2018.43	1919.13	2126.87	2027.57	1973.35	2270.2	2393.9	108.441	83.721	0.772				0.151	0.718	3.315				
TA 1	99.3	83.5_UPP THYLACINE MBR	2018.43	1919.13	2094.94	1995.64	1957.385	2270.2	2357.5	76.508	57.927	0.757				0.153	0.721	4.245				
TA 1	99.3	83.8_MID THYLACINE MBR	2094.94	1995.64	2126.87	2027.57	2011.605	2357.5	2393.9	31.933	25.793	0.808				0.145	0.71	1.227				
TA 1	99.3	88_BASE C. STRIATOCONUM	2126.87	2027.57	2239.11	2139.81	2083.69	2393.9	2521.4	112.237	64.086	0.571				0.156	0.525	273.635				
TA 1	99.3	WAARRE FM	2239.11	2139.81	2339.46	2240.16	2189.985	2521.4	2634.2	100.354	73.207	0.729				0.143	0.705	141.127				
TA 1	99.3	90.8_UPPER WAARRE	2239.11	2139.81	2339.46	2240.16	2189.985	2521.4	2634.2	100.354	73.207	0.729				0.143	0.705	141.127				
TA 1	99.3	Below Top Porosity	1450.35	1351.05	2339.46	2240.16	1795.605	1609.7	2634.2	889.111	221.014	0.249				0.15	0.656	127.341				
THISTLE 1	75.0	68_PAARATTE	1079.94	1004.94	1542.36	1467.36	1236.15	1079.94	1542.36	462.42									No NET log	1900.1232	2264.9688	IFC(PHIT>=.08&VSH<=.5,1,0)
THISTLE 1	75.0	81_BELFAST	1542.36	1467.36	1903.94	1828.94	1648.15	1567.42	1929.0	361.58	0.0	0.0							No NET log over entire interval			
THISTLE 1	75.0	THYLACINE MEMBER	1903.94	1828.94	1929.14	1854.14	1841.54	1929.0	1954.2	25.2	0.0	0.0										
THISTLE 1	75.0	83.5_UPP THYLACINE MBR	1903.94	1828.94	1929.14	1854.14	1841.54	1929.0	1954.2	25.2	0.0	0.0										
THISTLE 1	75.0	88_BASE C. STRIATOCONUM	1929.14	1854.14	1965.31	1890.31	1872.225	1954.2	1990.37	36.17	12.447	0.344				0.201	0.996					
THISTLE 1	75.0	WAARRE FM	1965.31	1890.31	2239.86	2164.86	2027.585	1990.37	2265.0	274.546	139.315	0.507				0.175	0.995					
THISTLE 1	75.0	90.8_UPPER WAARRE	1965.31	1890.31	2067.69	1992.69	1941.5	1990.37	2092.75	102.38	87.526	0.855				0.186	1.0					
THISTLE 1	75.0	93_LOWER WAARRE	2067.69	1992.69	2239.86	2164.86	2078.775	2092.75	2265.0	172.165	51.788	0.301				0.155	0.986					
THISTLE 1	75.0	Below Top Porosity	1903.94	1828.94	2239.86	2164.86	1996.9	1929.0	2265.0	335.915	151.761	0.452				0.177	0.995					
THYLACINE 1	101.4	68_PAARATTE	1454.75	1353.35	1686.51	1585.11	1469.23	1454.75	1686.51	231.769	0.0	0.0							uses wyllie sonic PHIT	753.3132	2716.07254	IFC(PHIT>=.08&VSH<=.5,1,0)
THYLACINE 1	101.4	81_BELFAST	1711.7	1610.3	2048.5	1947.1	1778.7	1711.7	2048.5	336.8	0.0	0.0							uses wyllie sonic PHIT			
THYLACINE 1	101.4	THYLACINE MEMBER	2023.1	1921.7	2133.98	2032.58	1977.14	2048.5	2159.5	110.876	31.209	0.281				0.171	0.418	4.328				
THYLACINE 1	101.4	83.5_UPP THYLACINE MBR	2023.1	1921.7	2092.32	1990.92	1956.31	2048.5	2117.8	69.216	12.024	0.174				0.184	0.345	7.279				
THYLACINE 1	101.4	83.8_MID THYLACINE MBR	2092.32	1990.92	2133.98	2032.58	2011.75	2117.8	2159.5	41.66	19.185	0.461				0.163	0.47	2.478				
THYLACINE 1	101.4	88_BASE C. STRIATOCONUM	2133.98	2032.58	2247.49	2146.09	2089.335	2159.5	2273.1	113.514	37.309	0.329				0.185	0.336	382.822				
THYLACINE 1	101.4	WAARRE FM	2247.49	2146.09	2678.23	2576.83	2361.46	2273.1	2704.0	430.739	176.561	0.41				0.155	0.838	75.437				
THYLACINE 1	101.4	90.8_UPPER WAARRE	2247.49	2146.09	2398.13	2296.73	2221.41	2273.1	2423.8	150.633	97.751	0.649				0.166	0.733	131.174				
THYLACINE 1	101.4	93_LOWER WAARRE	2398.13	2296.73	2678.23	2576.83	2436.78	2423.8	2704.0	280.106	78.81	0.281				0.142	0.99	6.304				
THYLACINE 1	101.4	Below Top Porosity	2023.1	1921.7	2678.23	2576.83	2249.265	2048.5	2704.0	655.129	245.079	0.374				0.161	0.694	113.175				
THYLACINE 2	101.2	68_PAARATTE	1438.56	1337.36	1799.93	1698.73	1518.045	1438.56	1799.93	361.366									No NET_1 log	2141.982	2501.4936	NET
THYLACINE 2	101.2	81_BELFAST	1825.0	1723.8	2144.0	2042.8	1883.3	1825.0	2144.0	319.0	0.113	0.0				0.129	0.562		No NET _1 log over entire interval; tiny bit more sand in interval			Note: NET_4 log 2142-2237 mMD with IFC(PHIT>=.08&VSH<=.5,1,0)
THYLACINE 2	101.2	THYLACINE MEMBER	2118.87	2017.67	2212.15	2110.95	2064.31	2144.0	2237.3	93.281	61.14	0.655				0.146	0.542	2.075	summation from NET_1 log and PHIT_3 log (latest version); PHIT_1 log gives PHIT_Av 0.163			
THYLACINE 2	101.2	83.5_UPP THYLACINE MBR	2118.87	2017.67	2131.36	2030.16	2023.915	2144.0	2156.5	12.497	8.419	0.674				0.137	0.501	0.996	summation from NET_1 log and PHIT_3 log (latest version); PHIT_1 log gives PHIT_Av 0.154			
THYLACINE 2	101.2	83.8_MID THYLACINE MBR	2131.36	2030.16	2212.15	2110.95	2070.555	2156.5	2237.3	80.784	52.72	0.653				0.147	0.548	2.247	summation from NET_1 log and PHIT_3 log (latest version); PHIT_1 log gives PHIT_Av 0.165			
THYLACINE 2	101.2	88_BASE C. STRIATOCONUM	2212.15	2110.95	2322.43	2221.23	2166.09	2237.3	2347.6	110.286	28.799	0.261				0.148	0.744	181.017	summation from NET_1 log, using PHIT_1 log; no PHIT_3 log over interval			
THYLACINE 2	101.2	WAARRE FM	2322.43	2221.23	2509.92	2408.72	2314.975	2347.6	2535.2	187.484	105.13	0.561				0.146		40.006	summation from NET_1 log, using PHIT_1 log; no PHIT_3 log over interval			
THYLACINE 2	101.2	90.8_UPPER WAARRE	2322.43	2221.23	2453.91	2352.71	2286.97	2347.6	2479.1	131.478	96.69	0.735				0.148		43.238	summation from NET_1 log, using PHIT_1 log; no PHIT_3 log over interval			
THYLACINE 2	101.2	93_LOWER WAARRE	2453.91	2352.71	2509.92	2408.72	2380.715	2479.1	2535.2	56.006	8.44	0.151				0.124		2.98	summation from NET_1 log, using PHIT_1 log; no PHIT_3 log over interval			
THYLACINE 2	101.2	Below Top Porosity	2118.87	2017.67	2509.92	2408.72	2213.195	2144.0	2535.2	391.051	195.069	0.499				0.152	0.542	48.936	summation from NET_1 log, using PHIT_3 log (Thylacine Mbr) and PHIT_1 log; no PHIT_3 log over entire interval			
THYLACINE SOUTH 1	99.3	68_PAARATTE	1463.54	1364.24	1703.95	1604.65	1484.445	1463.54	1703.95	240.407									No NET log	2807.4	3230.8	IFC(PHIT>=.08&VSH_GR<=.4,1,0)
THYLACINE SOUTH 1	99.3	81_BELFAST	2155.2	2055.9	2808.4	2709.1	2382.5	2155.2	2808.4	653.2									No NET log			
THYLACINE SOUTH 1	99.3	THYLACINE MEMBER	2158.45	2059.15	2277.4	2178.1	2118.625	2808.4	2959.5	118.954	42.807	0.36				0.143	0.633	1.833				
THYLACINE SOUTH 1	99.3	83.5_UPP THYLACINE MBR	2158.45	2059.15	2215.88	2116.58	2087.865	2808.4	2882.1	57.432	21.032	0.366				0.141	0.634	1.919				
THYLACINE SOUTH 1	99.3	83.8_MID THYLACINE MBR	2215.88	2116.58	2277.4	2178.1	2147.34	2882.1	2959.5	61.522	21.775	0.354				0.145	0.632	1.75				
THYLACINE SOUTH 1	99.3	88_BASE C. STRIATOCONUM	2277.4	2178.1	2361.25	2261.95	2220.025	2959.5	3061.9	83.845	20.694	0.247				0.141	0.761	1.796				
THYLACINE SOUTH 1	99.3	WAARRE FM	2361.25	2261.95	2524.59	2425.29	2343.62	3061.9	3250.2	163.345	55.611	0.34				0.161	0.795	29.875				
THYLACINE SOUTH 1	99.3	90.8_UPPER WAARRE	2361.25	2261.95	2494.02	2394.72	2328.335	3061.9	3215.3	132.773	50.881	0.383				0.165	0.782	32.584				
THYLACINE SOUTH 1	99.3	93_LOWER WAARRE	2494.02	2394.72	2524.59	2425.29	2410.005	3215.3	3250.2	30.572	4.73	0.155				0.114	1.0	0.726				
THYLACINE SOUTH 1	99.3	Below Top Porosity	2158.45	2059.15	2524.59	2425.29	2242.22	2808.4	3250.2	366.143	119.112	0.325				0.151	0.734	14.919				
TRITON 1 ST1	100.0	68_PAARATTE	1710.72	1610.72	1927.75	1827.75	1719.235	1710.72	1927.75	217.026									No NET log	2836.01194	3541.77631	IFC(PHIT>=.08&VSH<=.5 1 0)
TRITON 1 ST1	100.0	81_BELFAST	1927.75	1827.75	2573.72	2473.72	2150.735	1950.0	2600.0	645.971									No NET log			
TRITON 1 ST1	100.0	THYLACINE MEMBER	2573.72	2473.72	2659.48	2559.48	2516.6	2600.0	2685.9	85.758									No NET log			
TRITON 1 ST1	100.0	83.5_UPP THYLACINE MBR	2573.72	2473.72	2659.48	2559.48	2516.6	2600.0	2685.9	85.758									No NET log			
TRITON 1 ST1	100.0	86_FLAXMAN	2659.48	2559.48	2783.03	2683.03	2621.255	2685.9	2809.6	123.552									No NET log			
TRITON 1 ST1	100.0	88_BASE C. STRIATOCONUM	2783.03	2683.03	3387.87	3287.87	2985.45	2809.6	3415.6	604.841	0.0	0.0										
TRITON 1 ST1	100.0	WAARRE FM	3387.87	3287.87	3516.83	3416.83	3352.35	3415.6	3545.0	128.963	36.764	0.285				0.108	0.683					
TRITON 1 ST1	100.0	93_LOWER WAARRE	3387.87	3287.87	3516.83	3416.83	3352.35	3415.6	3545.0	128.963	36.764	0.285				0.108	0.683					
TRITON 1 ST1	100.0	Below Top Porosity	2573.72	2473.72	3516.83	3416.83	2945.275	2600.0	3545.0	943.114	36.764	0.039				0.108	0.683					
WHELK 1	103.02	68_PAARATTE	724.42	621.4	1012.72	909.7	765.55	724.42	1012.72	288.3	5.486	0.019				0.258	1.0			627.5832	1464.8688	IFC(PHIT>=.08&VSH<=.5,1,0)
WHELK 1	103.02	81_BELFAST	1043.2	940.18	1296.2	1193.18	1066.68	1043.2	1296.2	253.0	13.411	0.053				0.227	1.0					
WHELK 1	103.02	THYLACINE MEMBER	1265.72	1162.7	1280.82	1177.8	1170.25	1296.2	1311.3	15.1	2.286	0.151				0.295	1.0					
WHELK 1	103.02	83.5_UPP THYLACINE MBR	1265.72	1162.7	1280.82	1177.8	1170.25	1296.2	1311.3	15.1	2.286	0.151				0.295	1.0					
WHELK 1	103.02	88_BASE C. STRIATOCONUM	1280.82	1177.8	1373.12	1270.1	1223.95	1311.3	1403.6	92.3	24.079	0.261				0.193	1.0					
WHELK 1	103.02	Below Thylacine Member	1265.72	1162.7	1373.12	1270.1	1216.4	1296.2	1403.6	107.4	26.365	0.245				0.202	1.0					
